,freeID,director,color
0,,,
1,/m/0dqcs3,Neil LaBute,color
2,/m/02qp7rn,Gary Fleder,color
3,/m/076yrtr,,color
4,/m/026xb9v,Wolfgang Liebeneiner,black and white
5,/m/0kvg5n,Peter Tewksbury,color
6,/m/0423dg,C. Jay Cox,color
7,/m/06w7zz7,Pankaj Advani,color
8,/m/0b764j0,Alberto Gout,black and white
9,/m/0f9dwg,Gunasekhar,
10,/m/09bw4_,Doug Liman,color
11,/m/0g7h63,Stuart Gordon,
12,/m/07n76l,Charlie Chaplin,black and white
13,/m/02q_pqh,Terence Fisher,color
14,/m/05jwb_,,
15,/m/08mlpy,Mastan Alibhai Burmawalla,
16,/m/02rn00y,Bob Peterson,color
17,/m/02x06t4,Shrabani Deodhar,color
18,/m/05syb3z,,
19,/m/04f_kl8,Kari Skogland,color
20,/m/0989k_,Marcel Carné,black and white
21,/m/09ck5w,Roger Spottiswoode,color
22,/m/080lk37,Mario Hernández,
23,/m/05f5g0q,Yusuf Khan,color
24,/m/09h3gt,Sammo Hung,color
25,/m/03hnf6_,John Madden,color
26,/m/0gh6g18,,
27,/m/07l3gh,Michael Curtiz,black and white
28,/m/0dlmmc1,Lee Roy Myers,
29,/m/02lxv5,Tim Burton,black and white
30,/m/05vxdh,Sharon Maguire,color
31,/m/036fxp,Raja Gosnell,color
32,/m/026m_zd,Jacques Feyder,black and white
33,/m/071g5v,Andrea Maria Dusl,color
34,/m/05q4h2d,Giuseppe Vari,color
35,/m/0b6mhv8,Herman Yau,color
36,/m/06w5778,Robert D. Siegel,
37,/m/0kv9r7,,
38,/m/0bglh7j,,
39,/m/03c3ccm,,
40,/m/0cnz7lh,Kim Ji-woon,color
41,/m/02ww5km,Herb Freed,color
42,/m/03ck_34,Peter Graham Scott,
43,/m/0fpgpcq,,
44,/m/08kbqg,Mervyn LeRoy,black and white
45,/m/095zlp,Stephen Daldry,color
46,/m/01v2vy,Robert Greenwald,color
47,/m/02pw3h0,Rakesh Kumar,color
48,/m/092nkx,,
49,/m/0bbvsgt,Aruna Raje,
50,/m/0hzs5ny,,
51,/m/0c8r6s,,
52,/m/03t397,,
53,/m/0hrh9yp,José Javier Reyes,
54,/m/03qn46g,,
55,/m/04633ll,,
56,/m/0dygx8,,
57,/m/05c34sj,,
58,/m/0bj4ft3,John Cromwell,black and white
59,/m/047rlf9,Ashutosh Gowariker,color
60,/m/0kvg4h,A. Kodandarami Reddy,color
61,/m/0bbv0qf,Andrew V. McLaglen,black and white
62,/m/04f3stb,Franklin Martin,color
63,/m/0gx3c9k,,
64,/m/04y7899,Gábor Csupó,
65,/m/0h_9k9y,,
66,/m/027w8y8,Jules White,black and white
67,/m/09gmczn,Josh Cooley,
68,/m/0kb07,,
69,/m/03qcyzc,,
70,/m/027zh7z,John Sturges,color
71,/m/0crdx46,,
72,/m/04q0l3l,,
73,/m/02v_ltd,,
74,/m/03hhtw_,,
75,/m/04164sr,,
76,/m/0gjcxkf,Matthew O'Callaghan,
77,/m/02pq96t,,
78,/m/0g1t94,,
79,/m/05cj_j,Alfred Hitchcock,color
80,/m/028b3px,Daniel Myrick,color
81,/m/043jmgs,Billy Chung,color
82,/m/0808s3f,,
83,/m/0bhf6p,,
84,/m/09zg5d,,
85,/m/02rq32y,,
86,/m/0gsl7g,,
87,/m/096wmx,,
88,/m/0286vp,Mary Harron,color
89,/m/0288vvc,Kevin Downes,color
90,/m/0c11rp,Nicholas Ray,color
91,/m/06zt03v,Jonathan Liebesman,color
92,/m/0df4nkv,Wang Bing,color
93,/m/05p1s2m,Rolf de Heer,color
94,/m/049n9k,Richard Rosson,black and white
95,/m/02pvn_q,Ray Taylor,black and white
96,/m/04w4_f,Brian Trenchard-Smith,color
97,/m/05q848,Kevin Allen,color
98,/m/07q4nk,F. W. Murnau,black and white
99,/m/0cjmjx,Charles Jarrott,color
100,/m/06zt03h,Kevin Dowling,color
101,/m/066d7k,Jean Negulesco,color
102,/m/0g94y1,,color
103,/m/0bxzx1t,Richard T. Heffron,
104,/m/02x0zts,,
105,/m/05zylqv,,
106,/m/06w1x9,Jean-Jacques Beineix,color
107,/m/05_5qf,Wes Craven,color
108,/m/05c5dx,Dale Schott,color
109,/m/0crx2b,,
110,/m/03d8m9j,Jack King,
111,/m/02z23j3,,
112,/m/0dpq55,,
113,/m/0gwn_6,Harvey Glazer,color
114,/m/02ry29y,Thambi Ramaiah,color
115,/m/046lmq,,
116,/m/02qh8_p,Mel Smith,color
117,/m/047cb4k,David Rubín,
118,/m/0fpm3d,,
119,/m/0gtxjd7,,
120,/m/03b_zzg,José Javier Reyes,
121,/m/06yzxv,,
122,/m/07n2y4,,
123,/m/02rd4fq,,
124,/m/07ndq2,Deborah Brock,
125,/m/0bkf_k,,
126,/m/06fgcv,,
127,/m/09tp1v,,
128,/m/0gkt41y,Kim Ki-young,
129,/m/0jv6b,,
130,/m/02rzk_m,,
131,/m/0g559fz,Jerry Jameson,
132,/m/04g2ff4,,
133,/m/0gs7wq,Edward Neumeier,color
134,/m/02q3pj,Bob Saget,color
135,/m/02ps_lx,Sandy Tung,
136,/m/02x39rd,,
137,/m/06f2p3,,
138,/m/0c5jlb,,
139,/m/02q4gzf,Charles Band,
140,/m/02z9dht,,
141,/m/02psphy,John Hoffman,black and white
142,/m/06znbkp,Jonathan King,color
143,/m/0czmx7,Bimal Roy,color
144,/m/080l_q1,Rogelio A. González,Eastmancolor
145,/m/0h94pjk,Drew Cullingham,color
146,/m/08j7lh,Johnnie To,color
147,/m/027sr95,Frank Tashlin,color
148,/m/03c8ww6,Fernando Palacios,black and white
149,/m/02qkdtj,Ravi Chopra,
150,/m/09rr37r,,
151,/m/02x5w1x,,
152,/m/0fygr7,William F. Claxton,
153,/m/0crw2pw,,
154,/m/0282vrl,,
155,/m/094kgx,Don Coscarelli,color
156,/m/0d_r0v,Mark Tapio Kines,
157,/m/02z0f3h,,
158,/m/0dy50j,,
159,/m/0fm7l2,Ethan Wiley,color
160,/m/09p4ph,John Sturges,black and white
161,/m/0540d7,Clare Kilner,color
162,/m/0c5gp2,Miguel M. Delgado,
163,/m/03cbzb_,,
164,/m/04zw5dg,,
165,/m/02x0y83,Martine Dugowson,
166,/m/040n6j,,
167,/m/03nmqp,,
168,/m/04f1nwm,Gerd Oswald,color
169,/m/04gk64z,Scott Rosenbaum,color
170,/m/0421nr5,,
171,/m/03c_hdl,Ranjith,color
172,/m/0fq6f4x,,
173,/m/01633c,Frank Oz,color
174,/m/0dz9m_,Kenji Misumi,color
175,/m/02rncrw,Michael Feifer,
176,/m/0bxnsk,,
177,/m/0502pc,,
178,/m/0h3qy7w,Raymond Longford,black and white
179,/m/03wfsz7,Stephen Frears,
180,/m/02rntg2,,
