,freeID,director,color
0,,,
1,/m/02v_kf1,Steve Asquith,
2,/m/09rmm4w,Harry Beaumont,black and white
3,/m/04yg7f5,Sergio Garrone,color
4,/m/02pjk9m,Joseph Barbera,color
5,/m/0b_n9rh,Menahem Golan,
6,/m/03hm5pt,Park Kwang-su,
7,/m/0gmbr0f,David Wexler,color
8,/m/04cx99m,Christopher Leitch,color
9,/m/048r690,Michael Corrente,color
10,/m/04y8fjd,Bharathiraja,color
11,/m/03wfdh7,Aldo Fabrizi,black and white
12,/m/0gknjm,Anders Jacobsson,color
13,/m/04q7tmn,Shakti Samanta,
14,/m/03b1sb,Stephen Frears,color
15,/m/04y7gnl,Mrinal Sen,
16,/m/09g6y_w,"Tracy Somerset, Duchess of Beaufort",color
17,/m/027m099,William Augustus Wellman,color
18,/m/062kt_,Mitchell Leisen,black and white
19,/m/0cp3d1,Michael O'Herlihy,
20,/m/02q71tn,Naoto Kumazawa,color
21,/m/0fpmrmq,Dee Rees,color
22,/m/03hmxzz,Roy Rowland,black and white
23,/m/04n36xd,Edward L. Cahn,black and white
24,/m/099wbj,Ludwig Berger,color
25,/m/02rp0b4,Ilya Khrzhanovsky,color
26,/m/0dd96zz,Leslie Norman,black and white
27,/m/07kc0gx,Eduard von Borsody,color
28,/m/04cwzbh,Icíar Bollaín,color
29,/m/0d71zj,Ravi Tandon,
30,/m/093dp5,Peter Medak,color
31,/m/0gn2jn,Ali Selim,color
32,/m/07gv6d,Joel Schumacher,color
33,/m/04j2k31,,
34,/m/03whq7s,Aaron Katz,color
35,/m/0bgl9z6,Alf Kjellin,
36,/m/074f8f,Jean-Luc Godard,black and white
37,/m/04fwl3,Don Barton,color
38,/m/0cq7tx,Robert Wise,color
39,/m/03dy7k,Don Coscarelli,color
40,/m/0jl14xf,Jonathan Teplitzky,color
41,/m/04j1f43,Joseph H. Lewis,black and white
42,/m/0bf4d02,Stephen Wallace,color
43,/m/0g5spl6,Sudhanshu Mohan Sahu,color
44,/m/06w6djj,Marshall Neilan,black and white
45,/m/09v6qbq,Stuart Gillard,color
46,/m/0k9d5sn,Chris Stokes,color
47,/m/03nspcv,Hayley Cloake,color
48,/m/042gcq,Sidney Lumet,color
49,/m/0gtn36,Desmond Davis,color
50,/m/02rkv82,Zach C. Gray,color
51,/m/0g2sv8,,
52,/m/0535xp,Shimon Dotan,color
53,/m/047qxyq,John Flynn,
54,/m/0817q4,,
55,/m/0br_8s8,Lena Dunham,color
56,/m/09g8cc9,Walter Forde,black and white
57,/m/0gx0mdt,,
58,/m/03h2_mn,,
59,/m/0bwhzqd,,
60,/m/0275dd9,,
61,/m/02p775,Stephen Herek,color
62,/m/0b6d_ng,Mahesh,
63,/m/06cpd9,,
64,/m/05p85qx,,
65,/m/0gqr7t,Louis Malle,black and white
66,/m/0b9yd4,Mark Sandrich,black and white
67,/m/09g85tq,,color
68,/m/04cd2_,Mehul Kumar,color
69,/m/01g_km,Albert Magnoli,color
70,/m/05gbqy,Peter Greenaway,color
71,/m/0kv8gn,Paul Moore,color
72,/m/07ttd1,K. Madhu,color
73,/m/0ddfqn0,,
74,/m/0d1wbk,,
75,/m/06zkfsy,,
76,/m/0c8rlz,,
77,/m/0dd9zt9,,
78,/m/0cc6m6g,Kevin Ko,color
79,/m/02p4f5p,Bob Clampett,color
80,/m/0h3nl_m,Raymond Longford,black and white
81,/m/0464_g5,Reynaldo Villalobos,color
82,/m/02z5kmx,Stanley Donen,color
83,/m/03ym1br,Peter Masterson,color
84,/m/0b6h7ss,Sulev Keedus,
85,/m/06609y9,,
86,/m/02rnd2j,C. Courtney Joyner,
87,/m/0gmcrpd,,
88,/m/05gddq,Prakash Mehra,color
89,/m/03c9p0p,James W. Horne,black and white
90,/m/04f4pdr,Howard Hawks,black and white
91,/m/0gwgn1k,Sean Anders,color
92,/m/0bs4vs6,Im Sang-soo,color
93,/m/09rvk9z,Michael Petroni,color
94,/m/02wwxmz,Robert Dyke,color
95,/m/08yjvl,Miloš Forman,color
96,/m/026x01t,Charley Chase,black and white
97,/m/04jl38k,Michael Powell,black and white
98,/m/03nsy8y,Agathiyan,color
99,/m/0ph6x,,
100,/m/02vvxtw,,
101,/m/05hzf3,,
102,/m/026ybx_,,
103,/m/0gtw7ps,,
104,/m/0g56v_k,,
105,/m/0dsgfd,Scott Marshall,color
106,/m/0bh8yn3,Martin Campbell,color
107,/m/06n89d,Jean-Luc Godard,color
108,/m/0b40y4,Paul Verhoeven,color
109,/m/0h73n6,David DeCoteau,color
110,/m/03gs_pj,Jules White,black and white
111,/m/0gvs1kt,Stephen Daldry,color
112,/m/09sd24,Stanley Isaacs,
113,/m/0959db,,
114,/m/070zyh,Lee Frost,color
115,/m/09gf32b,Roger Corman,black and white
116,/m/027rsm2,,color
