,freeID,director,color
0,,,
1,/m/0cp1d65,David Nelson,color
2,/m/0m9tw,Griffin Dunne,color
3,/m/048r1l,Zhang Yimou,color
4,/m/065_ygx,H. M. Reddy,black and white
5,/m/02vzml4,Tony Ayres,
6,/m/0809dyy,Mark L. Lester,color
7,/m/027ry7b,Michael Reeves,color
8,/m/08rn3h,Ishirō Honda,color
9,/m/09gffqq,Philip Leacock,
10,/m/027vv7p,Yves Simoneau,color
11,/m/053rvr,Richard Quine,color
12,/m/02qvqxs,Richard Dutcher,color
13,/m/0dfyvj,Rolf de Heer,black and white
14,/m/02s9k_,Colin Higgins,color
15,/m/080mt0,Indra Kumar,color
16,/m/0dll6z3,Irvin Willat,black and white
17,/m/0gh8mvl,,color
18,/m/086s7z,Robert Townsend,color
19,/m/0fxfwn,John Blizek,color
20,/m/0cmdxtz,Priyadarshan,color
21,/m/047dr5k,Robert F. Hill,black and white
22,/m/04984j,Randal Kleiser,color
23,/m/02xcdrs,H. S. Rawail,
24,/m/0cg4j5c,Ventura Pons,color
25,/m/0cn_39c,Lindsay Shonteff,color
26,/m/04j0z0w,K. S. Ravikumar,color
27,/m/03r0z3,Guy Hamilton,color
28,/m/09hfyy,Ron Howard,color
29,/m/05syqvm,Yannis Dalianidis,black and white
30,/m/02vmj_0,Paul Haggis,color
31,/m/02r1c9j,,color
32,/m/07mvc9,Andrew V. McLaglen,color
33,/m/04g2brl,D.J. Webster,color
34,/m/08hggw,George Sidney,black and white
35,/m/05d9hq,Víctor Erice,color
36,/m/027x26s,Tay Garnett,black and white
37,/m/0h3nw4b,Hartney Arthur,black and white
38,/m/0gf18g,,
39,/m/03m7231,Aki Kaurismäki,color
40,/m/0b741jv,David Lister,color
41,/m/026ljzc,Dennis Donnelly,color
42,/m/03d1lvr,,
43,/m/03gz_y5,Hamid Ali Khan,
44,/m/04m_959,,
45,/m/043p6c2,Rod Pridy,color
46,/m/08p03k1,,
47,/m/09ghmv9,Peter Timm,color
48,/m/08mtwc,,
49,/m/051yknj,,color
50,/m/06w9fcx,,
51,/m/0j3gy6b,,
52,/m/04j334b,,
53,/m/02vlqw9,Chuck Jones,
54,/m/03cfk40,,
55,/m/02vkdjr,,
56,/m/05f3y96,Ulli Lommel,
57,/m/027vg01,,
58,/m/0gyw77p,,
59,/m/03x6tf,Alan Smithee,color
60,/m/0cg0kc,Perarasu,color
61,/m/0gh8hgh,,
62,/m/06b0s1,,
63,/m/01qf6c,Kang Je-gyu,color
64,/m/0fst67,Renny Harlin,
65,/m/051r934,Sam Miller,
66,/m/04j9z99,Mary Pickford,black and white
67,/m/0cm844c,Tsutomu Shibayama,color
68,/m/0d32lz,David DeCoteau,color
69,/m/02vx4hk,,
70,/m/0fkn6k,David Dobkin,color
71,/m/0crw4gs,Riccardo Freda,color
72,/m/02y_jm3,,
73,/m/03d8mf7,,
74,/m/05p5j8t,,
75,/m/082d1n,,
76,/m/06zt05k,,
77,/m/093dxtf,,
78,/m/0gkz3m6,,
79,/m/02pszzm,,
80,/m/0j3gvqm,,
81,/m/0hhqh5c,,
82,/m/0bhbt5m,,
83,/m/0b75sbp,,
84,/m/0d5nzd,Amando de Ossorio Rodríguez,color
85,/m/03d88_k,Arun Kaul,color
86,/m/0h1d_mk,Nelson Shin,color
87,/m/0j62f56,Helmut Käutner,color
88,/m/0gmdpnm,Ron Howard,
89,/m/09svy0,,
90,/m/0640t_f,,
91,/m/03b1jx,Costa-Gavras,color
92,/m/02q8c26,Yasmin Ahmad,
93,/m/0h52vpz,,
94,/m/03y1n0s,,
95,/m/09lwxc,,
96,/m/03cc7hg,,
97,/m/0bdj28,,
98,/m/03cs706,,
99,/m/05mwd5w,V. Manikandan,
100,/m/0c06jbd,,
101,/m/0bh92dj,,
102,/m/03qnhfw,Wu Ma,
103,/m/09pvg5,,
104,/m/0dgsd4c,Gordon Parry,
105,/m/0dlmgyg,,
106,/m/0h95dvl,,
107,/m/08n4j3,John Singleton,color
108,/m/02qg5zq,John Schlesinger,color
109,/m/01r9zb,Patrice Leconte,color
110,/m/0bcyw8,John Whitesell,
111,/m/0464vsc,,
112,/m/0661m4p,Barry Sonnenfeld,color
113,/m/02v_g8n,Alan Arkin,color
114,/m/0ddmvz,Spencer Gordon Bennet,black and white
115,/m/0gv4n1,George Cukor,color
116,/m/0d4bj5,Stuart Heisler,color
117,/m/0268_0s,,
118,/m/08yb0w,,
119,/m/0gp_xn,,
120,/m/079gdc,,
121,/m/0gjckpz,,
122,/m/0b_l6c_,,
123,/m/04jkgtc,Alfred Edward Green,black and white
124,/m/0263q6p,,
125,/m/04cwsc5,Roy Del Ruth,black and white
126,/m/05h4rg,Joseph L. Mankiewicz,black and white
127,/m/0273n9r,Ronald Neame,color
128,/m/0282vkr,Ralph Nelson,color
129,/m/05zj4cv,,color
130,/m/02pnny6,,
131,/m/0dggx6,,
132,/m/074w86,Mike Bigelow,color
133,/m/03cn0k6,Fred M. Wilcox,black and white
134,/m/04tm9q,Jūzō Itami,color
135,/m/05q08x,Don Siegel,color
136,/m/0kv516,Barbet Schroeder,color
137,/m/05p5r5_,,
138,/m/02rbkyt,Russell Rouse,color
139,/m/0gnc58,,
140,/m/06znwky,,
141,/m/03q5l0,,
142,/m/034r25,,
143,/m/0f84n0,,
144,/m/05dx39,,
145,/m/05h1_l5,Richard Fleischer,color
146,/m/02rjf3x,Marco Bellocchio,color
147,/m/0c5phg,Buster Keaton,black and white
148,/m/0b16tr,Saul Metzstein,color
149,/m/071nbj,Richard Sale,color
150,/m/0jt29cq,Gerard Bryant,black and white
151,/m/02r3_13,Esmayeel Shroff,
152,/m/02q9sfv,,
153,/m/0h7n7_d,,
154,/m/08mx64,Curtis Bernhardt,black and white
155,/m/09g6k8r,Boyapati Srinu,color
156,/m/0kv51z,Tommy Chong,
157,/m/027z8k9,,
158,/m/0bz7sb,Edward James Olmos,color
159,/m/0cmbhps,David Miller,color
160,/m/0411jgx,,
161,/m/04yd77h,,
162,/m/06823p,,
163,/m/026mkx5,,
164,/m/06_v5_q,,
165,/m/04jn6y7,,
166,/m/09f38n,Gary Goldman,color
167,/m/027nms4,Uli Edel,
168,/m/02gvr_,,
169,/m/0b6k_rb,Michael McGowan,color
170,/m/0cj6mh0,Sidney Hayers,
171,/m/0gfdwp_,,
172,/m/0crck4,,
173,/m/08jkc3,,
174,/m/02qfqxy,,
175,/m/0f8_y7,,
176,/m/0chs4z,,
177,/m/0g5r4vt,David Bowers,color
178,/m/03mjst,Richard Lester,color
179,/m/05zpl5s,,
180,/m/03npcb,,
181,/m/0bj7wx,,
182,/m/076t4ll,,
183,/m/08wvf1,,
184,/m/0465vm1,Mark L. Lester,color
185,/m/0grwvm,Michel Gérard,color
186,/m/076y36,John McTiernan,color
187,/m/05b2vs4,R. Krishnamurthy,
188,/m/076xy6n,,
189,/m/027nkyc,,
190,/m/026rkvh,Hari,
191,/m/04m_yg_,,
192,/m/0gl0hcl,,
193,/m/09jqbr,Vittorio Taviani,color
194,/m/027lcx8,Maggie Greenwald,
195,/m/0h5r0r,,
196,/m/03d5s84,Lester James Peries,
197,/m/03cx73_,,
198,/m/080g064,Lambert Hillyer,black and white
199,/m/015gjc,Blake Edwards,black and white
200,/m/09nh7s,William A. Graham,
201,/m/02wxpbj,,
202,/m/03wbq2h,Surya Prakash,color
203,/m/0bvgcb5,,
204,/m/0416xc,Michael Lembeck,color
205,/m/04115hs,Nina Paley,
206,/m/02dkqh,Geoffrey Sax,color
207,/m/06w4rzr,Bruno Podalydès,
208,/m/0kvb69,Harmon Jones,color
209,/m/03jzvf,Akira Kurosawa,black and white
210,/m/0j67ls3,Gangai Amaran,
211,/m/06xqr4,,
212,/m/0flg3h,,
213,/m/0h9494v,,
214,/m/0dyz28,Guy Green,black and white
215,/m/0g0rlg,Ward Serrill,color
216,/m/062nf8,,
217,/m/0dr_4,James Cameron,color
218,/m/08xg12,Hugh Wilson,color
219,/m/0bbw4r1,,
220,/m/026pzy0,,
221,/m/07j90r,,
222,/m/027cz3y,,
223,/m/02wbfzj,,
224,/m/0jyjs,,
225,/m/0280rsv,Michael Cimino,color
226,/m/080c52r,Will Mackenzie,color
227,/m/08ct6,Stanley Kubrick,color
228,/m/0fjfdy,Rich Christiano,color
229,/m/0gxhjg,Marc Gracie,color
230,/m/0fk591,Puri Jagannadh,color
231,/m/05mty64,Fisher Stevens,color
232,/m/02hvyj,Donald Petrie,color
233,/m/0h3pnql,Tom Fernández,
234,/m/0287g_5,Anthony Page,color
235,/m/03hmt9b,Loveleen Tandan,color
236,/m/03bxff,Chen Kaige,color
237,/m/0hgljc9,Vin Diesel,color
238,/m/027jhl3,Charles Lamont,black and white
239,/m/027ygy,Peter Yates,color
240,/m/05p3vw9,Bharath Gopi,color
241,/m/0dljk9p,Frank Capra,black and white
242,/m/04g04bl,Gulzar,
243,/m/0bbv12c,William Beaudine,black and white
244,/m/011xpf,,color
245,/m/0dswq0,Victor Fleming,black and white
246,/m/02vlqlc,Alfred Edward Green,black and white
247,/m/06w8z03,William Clemens,black and white
248,/m/07m2_1,Charlie Chaplin,black and white
249,/m/080660c,Dave Parker,color
250,/m/05zls88,Abhijit Guha,
251,/m/04jcvr_,,
252,/m/0b73s35,,
253,/m/079jxk,Giorgio Capitani,color
