,WikiID,director,color
0,,,
1,/m/03vyhn,John Carpenter,color
2,/m/0285_cd,Cassian Elwes,color
3,/m/01mrr1,Robert van Ackeren,color
4,/m/04jcqvw,,
5,/m/0gffwj,Roberto Benabib,color
6,/m/016ywb,Kenneth Branagh,color
7,/m/04cqrs4,Atıf Yılmaz,
8,/m/02r52hc,Dave Fleischer,
9,/m/0kcn7,Robert Stevenson,color
10,/m/05p45cv,Dave Boyle,color
11,/m/0523t_1,,
12,/m/014k4y,John Singleton,black and white
13,/m/02rc_h4,,
14,/m/02pml15,Priyadarshan,color
15,/m/04j0lfk,I. V. Sasi,
16,/m/0fq260_,Vinod Mankara,color
17,/m/0b6c_nw,,
18,/m/0bh9fbk,,color
19,/m/07h9zj,,
20,/m/0b6kc_5,,
21,/m/01mrrd,,
22,/m/02vlsqt,,
23,/m/0cws46,,
24,/m/0f0d1p,Danny Leiner,
25,/m/02vn81r,,
26,/m/0dll97s,,
27,/m/04x8zs,,
28,/m/07v6f3,Cliff Roquemore,
29,/m/04mhwd,,
30,/m/02r8pmz,,
31,/m/03ymtlq,,
32,/m/0h10pz,,
33,/m/0gh8wn7,,
34,/m/04j1nd9,William Cameron Menzies,color
35,/m/0dyy_v,Russ Meyer,color
36,/m/0fc8w8,Richard Attenborough,color
37,/m/02x4zpv,Richard Fleischer,color
38,/m/04j0jtp,John Mackenzie,
39,/m/0bvx7h,,
40,/m/04mnqv6,Małgorzata Szumowska,color
41,/m/0286_1d,Julia Solomonoff,color
42,/m/0djbd6g,,
43,/m/07k8x7p,Tatsumi Kumashiro,
44,/m/0cm89jx,,
45,/m/02qcf9g,,
46,/m/06qv1c,Charles Bail,
47,/m/0cnxjzx,,
48,/m/0h54gth,,
49,/m/09yd9c,,
50,/m/07vz8r,,
51,/m/0b4f1s,Lee Young-eun,color
52,/m/0286kkz,,
53,/m/015wmg,,
54,/m/0dgrk23,Krisztina Goda,color
55,/m/07sb8_t,,
56,/m/026ccts,Robert Wise,color
57,/m/09gnwkp,Namrata Singh Gujral,
58,/m/064kyn2,,
59,/m/05j038,,
60,/m/02rpz18,,
61,/m/02qkn7c,,
62,/m/09kzfd,Gary Fleder,color
63,/m/043j2x,Rajiv Menon,color
64,/m/05v5ws,,
65,/m/0kv80y,,
66,/m/05p0zkv,,
67,/m/04jfr7g,,
68,/m/04y7q1b,,
69,/m/04rjwf,,
70,/m/02w5vj3,,
71,/m/0gm34c,,
72,/m/027_08f,,
73,/m/03_wh5,,
74,/m/018qbn,Wesley Ruggles,black and white
75,/m/0g08ws,Michael Polish,color
76,/m/01bwgr,Sam Peckinpah,color
77,/m/0bh97tj,,color
78,/m/09vnx57,,
79,/m/07jwzw,,
80,/m/04n2zzq,,
81,/m/02x6tkq,,
82,/m/02z63mv,,
83,/m/0g5sf9m,Viji Thampi,
84,/m/0b6dn1z,,
85,/m/0h_9kln,,
86,/m/03wggk7,,
87,/m/03813g,,
88,/m/0k0hkgm,,
89,/m/0hndjzb,Michael Glover Smith,
90,/m/01xlqd,,
91,/m/0c037x9,,
92,/m/0917bx,,
93,/m/0120g4,,
94,/m/03h4h5p,,
95,/m/02rp4qv,,
96,/m/07385y,Zacarías Gómez Urquiza,black and white
97,/m/0b24ld,,
98,/m/04j0c3_,,
99,/m/08m1s2,Julian Jarrold,color
100,/m/02w8t1b,Neil Coombs,color
101,/m/0d_ng1,,
102,/m/0g59khw,,
103,/m/0g5qgd2,Jens Schanze,color
104,/m/0p_sc,Alan Parker,color
105,/m/0gfrkw7,Janet Grillo,
106,/m/067p6m,Fred Dekker,color
107,/m/0dbfgz,George McCowan,
108,/m/0djfnq,,
109,/m/0b447t7,,
110,/m/0cz8rml,,
111,/m/0bb_l75,,
112,/m/0gj6pd,,
113,/m/05mvk68,,
114,/m/04mzmq8,,
115,/m/0dlm0sz,,
116,/m/01_mdl,,
117,/m/0882lf,Timothy Greene,
118,/m/05f9k7r,,
119,/m/03qmssn,,
120,/m/04j1_9j,Ken Russell,color
121,/m/0kvfd1,Peter Brook,black and white
122,/m/043qtrq,Greydon Clark,color
123,/m/03cn6hr,Kenneth J. Berton,
124,/m/02qmrx5,,
125,/m/0c3lr0,,
126,/m/0g6kwp,,
127,/m/025cm9,,
128,/m/0bghc4,,
129,/m/09v460,,
130,/m/0b777gn,Walter Lang,color
131,/m/0d_2j2,,
132,/m/0ds11z,Tim Burton,color
133,/m/03d76w1,Anil Devgan,color
134,/m/03gw63h,Hugh McCollum,black and white
135,/m/0b_zwy4,,
136,/m/016z5x,,
137,/m/07rf_1,Steve Oedekerk,color
138,/m/05m_4m6,Raja Krishna Menon,
139,/m/0bh9t6p,,
140,/m/07m7j8,,
141,/m/0b6kpmq,,
142,/m/051yg_8,Sujit Guha,color
143,/m/0b74vn,,
144,/m/04j35n6,,
145,/m/07s7_c0,Sylvio Tabet,color
146,/m/03gxj7d,,
147,/m/02w8rhv,Jin-woo Ahn,
148,/m/05b5q_n,,
149,/m/03h08vb,,
150,/m/0h1fzpv,,
151,/m/0ft_c9,,
152,/m/07kg7s3,Bill L. Norton,
153,/m/0crtb7j,,
154,/m/0b4y0r,,
155,/m/0j272x6,,
156,/m/05c4c72,John Rawlins,black and white
157,/m/027xtwf,,
158,/m/0gxncj8,,
159,/m/0gysbv4,,
160,/m/0463ncn,,
161,/m/01dh6f,,
162,/m/02639tg,,
163,/m/0c41tt3,,
164,/m/061nbd,,
165,/m/04j1p15,,
166,/m/02x5kcd,,
167,/m/04j0kr8,,
168,/m/0kv17w,,
169,/m/09gkn8b,David L. Hewitt,
170,/m/0db2z1,,
171,/m/04ldc1b,,
172,/m/027yjkd,,
173,/m/02rz0fs,,
174,/m/07s4ql2,,
175,/m/0b8rp_,Jiří Sequens,black and white
176,/m/01j5x_,Akira Kurosawa,black and white
177,/m/0gkss5y,Kim Hyun-seok,color
178,/m/04m0gv,,
179,/m/04gnwd2,Norman McCabe,
180,/m/0gf8mz8,,
181,/m/04zy_f7,,
182,/m/0cnxmjr,Joel Lamangan,color
183,/m/05246np,,
184,/m/06s6m_,,
185,/m/03ctywl,,
186,/m/0cn2s5,Marc Klein,color
187,/m/04j2ft8,K. Murali Mohana Rao,color
188,/m/0bfzz0,,
189,/m/07s7rx2,,
190,/m/07ts2f,,
191,/m/02w28mv,William Augustus Wellman,black and white
192,/m/09k6mnp,,
193,/m/0djywn8,Paul Harather,color
194,/m/03nx6f8,,
195,/m/0fk60h,,
196,/m/0c4fjm,Robert Altman,color
197,/m/0b42bk,Spike Jonze,color
198,/m/02q9jx_,,
199,/m/066j_j,Art Wolff,
200,/m/06lnkr,,
201,/m/05sy5dr,,
202,/m/02rnyyt,,
203,/m/0286qw2,,
204,/m/05zkfk2,,
205,/m/027b_lp,,
206,/m/026b79y,,
207,/m/02vpjr8,,
208,/m/03hq88,Blake Edwards,color
209,/m/03nqf7n,Anant Mahadevan,color
210,/m/080k_tj,,
211,/m/027nccj,,
212,/m/04y6hf1,,
213,/m/0k47y,Gordon Parks,color
214,/m/0kvbs2,Willis H. O'Brien,black and white
215,/m/07kbj2s,Sanaa Hamri,color
216,/m/0617_4,,
217,/m/04j2ftt,Steven Hilliard Stern,color
218,/m/0cvh_c,Felix E. Feist,color
219,/m/052172r,,
220,/m/02qjr0p,Rahul Rawail,
221,/m/04k12v,,
222,/m/04zz4c7,,
223,/m/04m_q2v,,
224,/m/02vnj6h,,
225,/m/09fgyt,David S. Ward,color
226,/m/0d_csz,Paul Morrissey,color
227,/m/03qhx0c,Antonio Margheriti,color
228,/m/09dl0l,Jun Fukuda,color
229,/m/0c1p3,,
230,/m/027z39j,,
231,/m/04993j,,
232,/m/03npxc,,
233,/m/026hfp8,,
234,/m/0g8p65k,,
235,/m/04j32f2,Michael Miner,color
236,/m/04q31n1,Paco Plaza,color
237,/m/0g9v_0p,Ahmed El-Sabawy,color
238,/m/0280lhm,Stanley Donen,color
239,/m/0dgp_sx,Bhadran,
240,/m/04j04vq,,
241,/m/0h09nh,,
242,/m/0807778,,
243,/m/0kvgjd,,
244,/m/02r4288,,
245,/m/02pnx7c,,
246,/m/04j03bn,René Eram,color
247,/m/04yfsw8,,
248,/m/0h39yl,,
249,/m/05b_rv_,,
250,/m/08zkct,,
251,/m/027x4qz,Benjamin Stoloff,black and white
252,/m/04rq8l,,
253,/m/051w_vb,,
254,/m/06wmyc,James Ivory,color
255,/m/0crs5bt,Emilio Estevez,color
256,/m/06w7l0s,David Dhawan,
257,/m/0g9wdmc,,
258,/m/0cs0w8k,,
259,/m/0bs1p_v,,
260,/m/07kwyt,,
261,/m/0bb_jr,Ralph Thomas,color
262,/m/069dl1,,
263,/m/0bmh28z,Samir Karnik,color
264,/m/026mh5j,,
265,/m/0287gvq,,
266,/m/045hxr,,
267,/m/0gkjmf,Rose Troche,black and white
268,/m/0b6qmv,,
269,/m/0b5vsy,Andrei Tarkovsky,color
270,/m/04068_w,John Moffitt,color
271,/m/03_m_1,,
272,/m/04xzt0,,
273,/m/0b6qmg,,
274,/m/05jyrf,Tex Avery,color
275,/m/05szq8z,Louis Leterrier,color
276,/m/02py6p6,Carlos Sorín,color
277,/m/05sxb6,Don Siegel,color
278,/m/034f7w,Ridley Scott,color
279,/m/0fph2t0,Richard Benner,color
280,/m/0h18g1b,,
281,/m/0ff79r,,
282,/m/060__7,,
283,/m/0b77n5c,,
284,/m/0b6qm3,,
285,/m/0dhh3h,John Schlesinger,color
286,/m/067rlq,Georgiy Daneliya,color
287,/m/0kv2l4,Peter Baldwin,color
288,/m/02991z,Polly James,color
289,/m/02zblr6,,
290,/m/09thsq,,
291,/m/071y5q,,
292,/m/02rl3k7,,
293,/m/0h3skpq,,
294,/m/0dsb9n0,,
295,/m/07s52n0,,
296,/m/07s4t6f,,
297,/m/0gdt5f,,
298,/m/0c3tkft,,
299,/m/02rdwrv,,
300,/m/04mw1fm,,
301,/m/0g7889,,
302,/m/03gtyp3,,
303,/m/0gzfhh,Roger Vadim,color
304,/m/02wywht,Frank De Felitta,
305,/m/0j3g2jk,,
306,/m/05b268g,,
307,/m/0h66h0p,,
308,/m/02r4xq0,,
309,/m/0cc9sj1,,
310,/m/0b6msm0,,
311,/m/05b_726,P. Padmarajan,
312,/m/0h74xd,,
313,/m/026474r,,
314,/m/05c3q8c,,
315,/m/0652hq,,
316,/m/0hzm_x1,Geoff Meed,
317,/m/07l50_1,,
318,/m/0gtx9zh,,
319,/m/0jt0y_r,,
320,/m/03hh8c4,,
321,/m/0kv3j3,,
322,/m/058q8s,,
323,/m/0dlmyyq,,
324,/m/0c9jj9,,
325,/m/0b6jx5_,,
326,/m/07kgp1w,,
327,/m/03gvzxy,,
328,/m/0hgpxb3,,
329,/m/027hx6p,,
330,/m/047n81_,,
331,/m/026h68f,,
332,/m/09v5fbh,,
333,/m/0288l_g,Perarasu,
334,/m/0281l5m,,
335,/m/0gx0nrh,,
336,/m/02q35ds,,
337,/m/09gj_hn,,
338,/m/04d2jm,,
339,/m/05sxl0x,,
340,/m/0hzr9h0,Zal Batmanglij,color
341,/m/02r4bg6,Ilan Heitner,color
342,/m/02pw05g,,
343,/m/0crdc2c,,
344,/m/0fbrd7,,
345,/m/0cdnkz,Márta Mészáros,black and white
346,/m/05wd_0,Charles Marquis Warren,color
347,/m/02806zq,Kamal El Sheikh,black and white
348,/m/0fpggm1,,
349,/m/03np63f,,
350,/m/0czdh1j,Pierre Rouve,color
351,/m/0gj8gbn,Hanus Burger,black and white
352,/m/047b7yb,,
353,/m/03m5fv7,Simon Langton,color
354,/m/03dwzc,Peter Hyams,color
355,/m/0dgp3km,Maneesh Sharma,color
356,/m/064w9b,,
357,/m/023p33,Clyde Geronimi,color
